SM4 | ANF_CSE_LS-transpiled depth=85166  size=125168ancilla=30 ops={'u': 76232, 'cx': 48928, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1060   size=1106   Toffoli_N=4196   Depth_N=2946  ancilla=35 ops={'mcx': 599, 'ccx': 289, 'cx': 205, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=82101  size=120456ancilla=35 ops={'u': 73425, 'cx': 47023, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1071   size=1116   Toffoli_N=4059   Depth_N=2889  ancilla=40 ops={'mcx': 582, 'ccx': 289, 'cx': 232, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=79049  size=115744ancilla=40 ops={'u': 70618, 'cx': 45118, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1079   size=1126   Toffoli_N=3926   Depth_N=2833  ancilla=45 ops={'mcx': 561, 'ccx': 289, 'cx': 263, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=76641  size=112020ancilla=45 ops={'u': 68315, 'cx': 43697, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1091   size=1136   Toffoli_N=3807   Depth_N=2791  ancilla=50 ops={'mcx': 542, 'cx': 292, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=73831  size=108310ancilla=50 ops={'u': 65996, 'cx': 42306, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1101   size=1146   Toffoli_N=3701   Depth_N=2741  ancilla=55 ops={'mcx': 528, 'cx': 316, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=71500  size=104720ancilla=55 ops={'u': 63830, 'cx': 40882, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1110   size=1156   Toffoli_N=3596   Depth_N=2690  ancilla=60 ops={'mcx': 513, 'cx': 341, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=69356  size=101580ancilla=60 ops={'u': 61925, 'cx': 39647, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1121   size=1166   Toffoli_N=3491   Depth_N=2641  ancilla=65 ops={'mcx': 498, 'cx': 366, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=67394  size=98440 ancilla=65 ops={'u': 60020, 'cx': 38412, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1130   size=1176   Toffoli_N=3395   Depth_N=2610  ancilla=70 ops={'mcx': 482, 'cx': 392, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=65566  size=95850 ancilla=70 ops={'u': 58396, 'cx': 37446, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1132   size=1186   Toffoli_N=3303   Depth_N=2572  ancilla=75 ops={'mcx': 470, 'cx': 414, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=63473  size=92740 ancilla=75 ops={'u': 56528, 'cx': 36204, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1140   size=1196   Toffoli_N=3240   Depth_N=2554  ancilla=80 ops={'mcx': 463, 'cx': 431, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=61916  size=90470 ancilla=80 ops={'u': 55161, 'cx': 35301, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1147   size=1206   Toffoli_N=3188   Depth_N=2537  ancilla=85 ops={'mcx': 455, 'cx': 449, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=60948  size=89076 ancilla=85 ops={'u': 54273, 'cx': 34795, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1157   size=1216   Toffoli_N=3115   Depth_N=2513  ancilla=90 ops={'cx': 472, 'mcx': 442, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=59591  size=87310 ancilla=90 ops={'u': 53144, 'cx': 34158, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1166   size=1226   Toffoli_N=3044   Depth_N=2484  ancilla=95 ops={'cx': 493, 'mcx': 431, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=58463  size=85328 ancilla=95 ops={'u': 51921, 'cx': 33399, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1176   size=1236   Toffoli_N=2972   Depth_N=2458  ancilla=100 ops={'cx': 515, 'mcx': 419, 'ccx': 289, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=57136  size=83454 ancilla=100 ops={'u': 50745, 'cx': 32701, 'measure': 8}
